SEQN,RIDAGEYR,FIAINTRP,RIDAGEMN,WTMEC2YR,SIAINTRP,DMDHHSIZ,AIALANG,RIDAGEEX,DMDCITZN,DMDHRGND,DMDHRMAR,INDHHINC,RIDEXPRG,DMDEDUC2,DMDHREDU,FIALANG,RIDEXMON,DMQMILIT,DMDMARTL,SDDSRVYR,SDMVSTRA,MIALANG,SDMVPSU,INDFMPIR,SIALANG,MIAINTRP,WTINT2YR,DMDEDUC3,DMDBORN,RIAGENDR,DMDHRBRN,INDFMINC,DMDHRAGE,DMDSCHOL,RIDRETH1,DMDHSEDU,FIAPROXY,MIAPROXY,DMDYRSUS,RIDSTATR,SIAPROXY,SourceYear
21005.0,19.0,2.0,232.0,5824.782465454041,2.0,2.0,1.0,233.0,1.0,1.0,3.0,6.0,,,5.0,1.0,1.0,2.0,5.0,3.0,39.0,1.0,2.0,2.44,1.0,2.0,5512.32094860935,11.0,1.0,1.0,1.0,6.0,39.0,1.0,4.0,,2.0,2.0,,2.0,2.0,2003
21006.0,16.0,2.0,203.0,5564.039714652058,2.0,6.0,1.0,205.0,1.0,2.0,5.0,7.0,1.0,,2.0,1.0,2.0,,5.0,3.0,41.0,1.0,1.0,2.47,1.0,2.0,5422.140452659803,11.0,1.0,2.0,1.0,6.0,27.0,2.0,4.0,,2.0,2.0,,2.0,2.0,2003
21007.0,14.0,2.0,172.0,40591.066325,2.0,5.0,1.0,172.0,1.0,1.0,,,2.0,,4.0,1.0,1.0,,5.0,3.0,35.0,1.0,2.0,1.6,1.0,2.0,39764.177412,8.0,1.0,2.0,1.0,6.0,39.0,1.0,3.0,,2.0,2.0,,2.0,1.0,2003
21008.0,17.0,2.0,208.0,5696.750595869874,2.0,7.0,1.0,209.0,1.0,2.0,5.0,11.0,,,4.0,1.0,2.0,2.0,5.0,3.0,32.0,1.0,1.0,2.75,1.0,2.0,5599.499351374193,10.0,1.0,1.0,1.0,7.0,40.0,1.0,4.0,,2.0,2.0,,2.0,2.0,2003
21009.0,55.0,2.0,671.0,97731.727244,2.0,2.0,1.0,672.0,1.0,1.0,1.0,8.0,,3.0,3.0,1.0,2.0,2.0,1.0,3.0,31.0,1.0,2.0,3.79,1.0,2.0,97593.678977,,1.0,1.0,1.0,8.0,55.0,,3.0,4.0,2.0,2.0,,2.0,2.0,2003
21010.0,52.0,2.0,633.0,43286.576474,2.0,3.0,1.0,634.0,1.0,1.0,6.0,6.0,2.0,4.0,1.0,1.0,2.0,2.0,6.0,3.0,29.0,1.0,1.0,1.24,1.0,2.0,39599.362689,,1.0,2.0,1.0,4.0,54.0,,3.0,,2.0,2.0,,2.0,2.0,2003
21011.0,0.0,2.0,3.0,1692.168138,2.0,7.0,,4.0,1.0,2.0,1.0,13.0,,,1.0,1.0,1.0,,,3.0,40.0,,2.0,,2.0,,1647.61769,,1.0,1.0,2.0,13.0,22.0,,1.0,3.0,2.0,,,2.0,1.0,2003
21012.0,63.0,2.0,765.0,12947.338142,2.0,2.0,,766.0,1.0,1.0,6.0,2.0,,3.0,3.0,1.0,2.0,2.0,6.0,3.0,33.0,,2.0,0.89,1.0,,12629.44048,,1.0,1.0,1.0,2.0,63.0,,4.0,,2.0,,,2.0,2.0,2003
21013.0,13.0,2.0,163.0,7304.945502641202,2.0,3.0,1.0,164.0,1.0,2.0,3.0,2.0,2.0,,4.0,1.0,1.0,,,3.0,37.0,1.0,1.0,0.59,1.0,2.0,7174.3710365355055,6.0,1.0,2.0,1.0,2.0,30.0,1.0,4.0,,2.0,2.0,,2.0,1.0,2003
21014.0,3.0,2.0,42.0,8385.245979,2.0,7.0,,42.0,1.0,2.0,1.0,4.0,,,4.0,1.0,2.0,,,3.0,33.0,,1.0,0.63,1.0,,7498.031463,,1.0,1.0,1.0,4.0,31.0,,4.0,4.0,2.0,,,2.0,1.0,2003
21015.0,83.0,2.0,1006.0,19994.159857,2.0,2.0,,1007.0,1.0,2.0,1.0,4.0,,4.0,4.0,1.0,2.0,1.0,1.0,3.0,33.0,1.0,2.0,1.2,1.0,2.0,17625.875727,,1.0,1.0,1.0,4.0,82.0,,3.0,4.0,2.0,2.0,,2.0,2.0,2003
21016.0,13.0,2.0,165.0,7832.795115987688,2.0,6.0,1.0,166.0,1.0,2.0,1.0,10.0,,,4.0,1.0,1.0,,,3.0,36.0,1.0,2.0,2.58,1.0,2.0,7689.833142863903,7.0,1.0,1.0,1.0,10.0,30.0,1.0,4.0,3.0,2.0,2.0,,2.0,1.0,2003
21017.0,37.0,2.0,444.0,26802.589075,2.0,2.0,2.0,445.0,2.0,1.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,3.0,42.0,2.0,2.0,0.21,2.0,2.0,26619.833543,,2.0,2.0,2.0,1.0,22.0,,1.0,,2.0,2.0,2.0,2.0,2.0,2003
21018.0,33.0,2.0,404.0,36208.263428,2.0,6.0,1.0,405.0,1.0,1.0,1.0,8.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,33.0,1.0,2.0,2.06,1.0,2.0,34998.529911,,1.0,2.0,1.0,8.0,36.0,,4.0,3.0,2.0,2.0,,2.0,2.0,2003
21019.0,50.0,2.0,606.0,15876.718692,2.0,7.0,2.0,607.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,41.0,2.0,1.0,0.16,2.0,2.0,14746.454143,,2.0,2.0,2.0,1.0,30.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2003
